name,placeId,taking_students,notes
Adventure Physiotherapy - North,ChIJhZMd76qWkFMR5koznvdcoOA,,
ADZ Psychology & Wellness Clinic,ChIJ3YeFWm35n1MRMBs89LByC28,,
AE Counselling and Support Services,ChIJ9xTJRkL1K4gR__KOmb6CUCg,,
AE Therapy - Angelica Esposito | EMDR,ChIJU4JxtA5hK4gRqNQ3pBDly4E,,
Afall Healing Services,ChIJb6pdEGQtO4gRqs3Ab64stEk,,
Affinity Counselling,ChIJa6gjsSf1K4gR8XZhibjN4hc,,
Affirming Mental Health Services,ChIJo6UidIYfWU0R6Ei_UmsSfzk,,
Affix Therapy,ChIJa_vPrOT5n1MRoYpcT4ouD4s,,
Affordable Child and Family Therapy,ChIJex0OPeqJToYRwUeo-6o4eaM,,
Afterglow Counselling & Wellness,ChIJE4n6cgktO4gRjovgesTIZDk,,
Ahana Counselling & Consulting,ChIJA60m_-Yd1YkRZX1V3K2wCHI,,
Ahave Massage Spa Lethbridge,ChIJpSLkPKHTqoQRHQzNtXTVmzQ,,
Ahmad And Associates,ChIJ__9PGa4rO4gRXcip0HOzYAU,,
"Ahmadreza Zamani, Family Counsellor, Registered Psychotherapist",ChIJQVOuOSfT1IkRvlyykN1O_TI,,
AIKYA Complete Wellness,ChIJW7dM1KK7ClMR172QvbXZ0SU,,
"AIM youth and family counselling, addictions counselling",ChIJdzyytwRhK4gRJImPNvx4tVc,,
Airdrie - Alberta Supports Centre,ChIJJ-0L0ElfcVMR9EqY1BVqGzs,,
Airdrie Addiction & Mental Health Clinic,ChIJD0jpOm9fcVMRPguJG6eQRiY,,
Airdrie Children's Services,ChIJm0-efAdfcVMRTT-rABKExSg,,
Airdrie Community Health Centre,ChIJE3Vy8XFfcVMRP0JH5ZhXn50,,
Airdrie Community Health Services,ChIJCxwN8XFfcVMR9RoCvj_M17A,,
Airdrie Counselling Centre,ChIJKbaTCBlfcVMRWHmPRF_Y3HE,,
Airdrie Family Services Society,ChIJ9_2uOW9fcVMRQ0_i99Vqh34,,
Airdrie Family Wellness,ChIJ0UXDvJpfcVMRlsOuhd_8Y6M,,
Airdrie Massage Wellness,ChIJ8YK5cFNfcVMRcyTt9G6nc4s,,
Airdrie Performance Massage,ChIJR4HzXJRfcVMRr4NefvEvvwo,,
Airdrie Physiotherapy & Massage,ChIJXcWUHnJfcVMRz59slvRAZy8,,
Airport Rehab Centre,ChIJMWKtugc8K4gRyJO-4SgD900,,
Aks Counselling and Psychotherapy Services,ChIJOez_T85HK4gR2ywr2b3gFRw,,
"AL Kaibzhanov, Psychotherapist RSW",ChIJP9uk7ow0K4gRUgYaSqd5I5M,,
Alan Young,ChIJpbo6tEEfWU0RQoz2ZdKeOxc,,
Alana Jacobsen Counselling & Psychotherapy,ChIJSyDTg2cfWU0Re2tDhE1C-aI,,
Alana lasovich hypnotherapy,ChIJYV29Ykz5n1MRE2DC8psWLyA,,
Alas del Cóndor: Psicología Profunda,ChIJ1bvXxW81K4gRwGtFxAMjJpA,,
Alberta Balance Centre,ChIJJfq8q8NvcVMRIdCsSUfsiB4,,
Alberta College of Massage Therapy,ChIJzQ2lqc0FsFMRaBo3VoaQIZ4,,
Alberta College of Massage Therapy,ChIJ99qPsomyCVMRZ3oCVe9XIAU,,
Alberta Counselling Centre,ChIJl0m2NuNwcVMR7Gnb9q7dX4s,,
Alberta Counselling Coop,ChIJUZTS1sLhc1MRJGurjpIllyE,,
Alberta Counselling Coop,ChIJryuMTVIPsFMR1fGYJ21g7EA,,
Alberta Counselling Services,ChIJX9UlqZhlcVMRl9tXEqmu-GY,,
Alberta Family Psychology,ChIJ8RtKnbNvcVMRbIUAMQSjVrI,,
Alberta Health Services,ChIJAdEnvy9UdFMRzFbOzrTnY98,,
Alberta Health Services,ChIJbSVdnW9fcVMRzjzVKIqBpBk,,
Alberta Health Services Home Care Clinic,ChIJ0TIAAnUtE1MRFaMnai5E5K8,,
Alberta Health Svc,ChIJETmr1YqOn1MR0YX-sguvl8U,,
Alberta Physical Therapy Clinics Inc.,ChIJg1qhywotE1MRPKlsHQXEGpY,,
Alberta Psychsystems,ChIJpQO5iugIsFMRNwReI6N1FEw,,
Alberta Spine and Sport,ChIJH89EnXCXcVMRVsS_T8bUJGQ,,
Alberta Supports - Leduc,ChIJDb4QV035n1MRhxEFXx1-gBc,,
Alberta Therapist,ChIJTY2a2zAloFMRRlpLIJNCITU,,
Alberta Therapy Co. - Old Strathcona,ChIJaZtGUJojoFMReliBWcRJQns,,
AlbertaHealthServices,ChIJa8Y_VQD5n1MR4-5ym3KMqDc,,
Alchemic Serendipity,ChIJVzOhmjOPn1MRuq8cF1Nu7qo,,
Alessia Manzoli,ChIJ3eB_SRGHEYoRJtkAXS8nCn0,,
"Alesya Courtnage, MA, RP Psychotherapy and Counselling",ChIJqQdsjpmbLIgRMegkvDnVBGo,,
ALEXANDRA BROWN THERAPY,ChIJV1A9drJR04kRhRNpweUAcug,,
